name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,seasons,start_season,end_season,drafted
Antino Jackson,1.8034,72.576,Guard,34.5,22.5,23,3.1,8,0.387,1.5,3.4,0.437,1.6,4.6,0.351,1.4,1.9,0.76,2.9,1,0,9.3,0.4,1.8,2.2,1.9,4,2015,2018,FALSE
Aundre Jackson,1.9558,104.328,Forward,35,11,21.2,5,8,0.62,4.5,6.8,0.661,0.5,1.2,0.395,2,2.8,0.713,1,0.5,0.3,12.4,1.1,2.6,3.7,1.6,2,2017,2018,FALSE
Billy Jackson,1.8288,88.452,Guard,32,4,13.8,0.9,3.2,0.277,0.7,2,0.349,0.2,1.2,0.158,0.8,1.3,0.61,0.8,0.5,0,2.7,0.5,0.7,1.2,1.1,1,2015,2015,FALSE
Bobby Jackson,2.0065999999999997,83.916,Forward,16.5,0,9.6,1,2.3,0.453,1,1.9,0.508,0.1,0.4,0.167,0.6,1.2,0.5,0.2,0.1,0.2,2.7,0.8,1.3,2.1,0.5,2,2018,2019,FALSE
Breyon Jackson,2.0065999999999997,106.596,Forward,9,0,7.3,0.2,1.1,0.211,0.2,1.1,0.211,0,0,0,0.7,1.1,0.6,0.1,0.2,0.2,1.1,0.7,0.9,1.6,0.7,2,2019,2020,FALSE
Bryce Jackson,1.9811999999999999,90.72,Forward,12.75,0.25,5.2,0.3,0.7,0.395,0.3,0.5,0.52,0,0.3,0.154,0.2,0.3,0.714,0.1,0,0.1,0.8,0.4,0.5,0.8,0.4,4,2015,2018,FALSE
Cameron Jackson,2.032,113.4,Forward,27.6,19,18.7,4.1,7.1,0.583,4.1,6.9,0.59,0.1,0.2,0.333,1.8,2.9,0.632,1.5,1.2,0.9,10.1,1.8,3.4,5.2,1.5,5,2015,2019,FALSE
Chad Jackson,1.9304,90.72,Guard,18,10.8,24,2.4,4.9,0.497,2.4,4.7,0.512,0,0.2,0.158,1.9,2.9,0.634,1.6,0.9,0.2,6.8,1.4,3,4.4,1.7,5,2011,2015,FALSE
Courtney Jackson,1.9811999999999999,102.06,Forward,30,16.5,20,2.4,4.9,0.482,2.3,4.6,0.494,0.1,0.3,0.267,0.9,2,0.47,0.7,0.3,0.3,5.7,1.4,3.2,4.6,1.3,4,2009,2012,FALSE
Dante Jackson,1.9558,88.452,Guard,34.25,22,24.4,1.8,5,0.371,0.6,1.4,0.406,1.3,3.5,0.356,0.9,1.2,0.717,1.9,1.1,0.1,5.8,0.4,2.4,2.7,1.4,4,2008,2011,FALSE
De'Jon Jackson,1.8796,90.72,Guard,28.25,20.5,28.3,2.7,6.9,0.398,2.1,4.8,0.434,0.7,2.1,0.316,1.6,2.2,0.743,2.2,0.9,0.3,7.8,0.9,2.1,3,1.6,4,2007,2010,FALSE
DeAngelo Jackson,2.0574,97.524,Forward,26.5,6,9.2,0.8,1.8,0.426,0.8,1.8,0.426,0,0,0,0.2,0.5,0.48,0.1,0.2,0.2,1.7,0.8,0.7,1.5,0.5,2,2009,2010,FALSE
Delveion Jackson,1.9811999999999999,95.256,Guard,18,0,11.4,0.5,1.8,0.273,0.3,0.9,0.294,0.2,0.9,0.25,0.1,0.4,0.286,0.8,0.4,0.1,1.3,0.7,1.1,1.8,0.4,1,2018,2018,FALSE
Derek Jackson,1.8541999999999998,77.112,Guard,25.8,21.4,31.7,3.5,8.5,0.406,1.9,4.3,0.44,1.6,4.2,0.372,1.6,2.3,0.709,2.3,1.7,0.2,10.1,0.6,2.2,2.8,1.5,5,2011,2015,FALSE
Desmar Jackson,1.9558,81.648,Guard,25,19.4,28.4,5.3,11.5,0.461,4.6,8.9,0.515,0.8,2.7,0.282,3.7,5,0.736,2,1.9,0.4,15.1,1.3,3.2,4.5,3,5,2010,2014,FALSE
Desmond Jackson,1.8541999999999998,88.452,Guard,27.75,2.25,17.9,1.5,5,0.29,0.6,1.8,0.328,0.8,3.2,0.268,0.4,0.8,0.516,1,0.9,0.1,4.2,0.6,1.3,1.8,1.2,4,2008,2011,FALSE
Devante Jackson,2.0574,90.72,Forward,31.333333333333332,24.666666666666668,22.1,3.5,7.4,0.477,3.2,6.6,0.49,0.3,0.8,0.361,2.2,3.2,0.701,1,0.3,0.6,9.5,1.4,3.1,4.4,1.6,3,2018,2020,FALSE
DeWayne Jackson,2.032,95.256,Forward,32,21,28.3,4.4,10.3,0.425,2.9,5.5,0.528,1.5,4.8,0.307,2.2,3.2,0.707,1.5,1.4,0.7,12.5,1.2,3.2,4.4,1.9,4,2010,2013,FALSE
Donovan Jackson,1.8796,79.38,Guard,32.5,15,24.9,3.3,8.3,0.401,1.2,3.1,0.377,2.1,5.1,0.416,1.6,1.9,0.851,1.6,0.5,0,10.4,0.2,1.3,1.5,1,2,2017,2018,FALSE
Dontay Jackson,1.8541999999999998,79.38,Guard,28,8,12,0.5,1.3,0.378,0.5,1.1,0.438,0,0.2,0,0.4,1.2,0.353,1.2,0.6,0.1,1.4,0.3,1.4,1.7,1,1,2015,2015,FALSE
Donya Jackson,1.905,95.7096,Guard,16.5,1,10.5,1.2,2.8,0.435,1,2,0.485,0.2,0.8,0.308,0.3,0.5,0.529,0.3,0.2,0.1,2.9,0.5,0.9,1.4,0.8,2,2012,2013,FALSE
Frank Jackson,1.905,92.988,Guard,36,16,24.9,3.7,7.8,0.473,2.3,4.2,0.539,1.4,3.6,0.395,2.1,2.8,0.755,1.7,0.6,0.1,10.9,0.6,1.9,2.5,1.4,1,2017,2017,TRUE
Freddie Jackson,1.9304,83.916,Guard,30.75,20.25,25.8,2.9,6.8,0.423,2.2,4.6,0.48,0.7,2.2,0.301,1.2,1.9,0.638,1.7,0.9,0.4,7.6,0.9,2.8,3.7,1.7,4,2012,2015,FALSE
Garrett Jackson,1.9558,102.06,Forward,24,7,17,2.2,4.8,0.46,1.8,3.6,0.501,0.4,1.2,0.336,0.9,1.3,0.673,0.7,0.5,0.4,5.7,1.3,1.9,3.1,0.9,5,2011,2015,FALSE
George Jackson,1.8034,79.38,Guard,22,6,16.2,1,3.6,0.266,0.7,2.4,0.288,0.3,1.2,0.222,0.9,1.2,0.731,1.3,0.6,0,3,0.3,0.9,1.2,2,1,2010,2010,FALSE
Jaden Jackson,1.8541999999999998,83.916,Guard,30,16,25.7,3.5,9.1,0.387,2.1,5,0.425,1.4,4.1,0.34,1.4,1.8,0.789,1.9,0.7,0,9.9,0.4,1.6,2,1,2,2015,2016,FALSE
Jamee Jackson,2.0065999999999997,102.06,Forward,28,17.5,21.4,2.5,5.2,0.48,2.5,5.2,0.48,0,0,0,1.4,3,0.482,0.3,0.4,0.9,6.4,2.2,2.6,4.8,1.3,4,2010,2013,FALSE
